"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Omzet ongecorrigeerd/Indexcijfers/Waarde (2015=100)";"Omzet ongecorrigeerd/Indexcijfers/Volume (2015=100)"
"474 Winkels in consumentenelektronica";"2008 april";"   116.2";"    89.1"
"474 Winkels in consumentenelektronica";"2008 mei";"   121.4";"    93.7"
"474 Winkels in consumentenelektronica";"2008 juni";"   133.9";"   104.0"
"474 Winkels in consumentenelektronica";"2008 juli";"   133.5";"   104.4"
"474 Winkels in consumentenelektronica";"2008 augustus";"   124.2";"    97.5"
"474 Winkels in consumentenelektronica";"2008 september";"   119.5";"    94.9"
"474 Winkels in consumentenelektronica";"2008 oktober";"   126.3";"   101.4"
"474 Winkels in consumentenelektronica";"2008 november";"   131.0";"   105.7"
"474 Winkels in consumentenelektronica";"2008 december";"   159.8";"   130.1"
"474 Winkels in consumentenelektronica";"2009 januari";"   130.8";"   107.2"
"474 Winkels in consumentenelektronica";"2009 februari";"   104.7";"    86.2"
"474 Winkels in consumentenelektronica";"2009 maart";"   105.4";"    87.4"
"474 Winkels in consumentenelektronica";"2009 april";"    96.3";"    79.9"
"474 Winkels in consumentenelektronica";"2009 mei";"   108.9";"    91.0"
"474 Winkels in consumentenelektronica";"2009 juni";"   105.7";"    88.6"
"474 Winkels in consumentenelektronica";"2009 juli";"   114.3";"    96.1"
"474 Winkels in consumentenelektronica";"2009 augustus";"   105.6";"    88.9"
"474 Winkels in consumentenelektronica";"2009 september";"   109.1";"    91.6"
"474 Winkels in consumentenelektronica";"2009 oktober";"   115.5";"    97.4"
"474 Winkels in consumentenelektronica";"2009 november";"   117.0";"    98.8"
"474 Winkels in consumentenelektronica";"2009 december";"   153.1";"   129.8"
"474 Winkels in consumentenelektronica";"2010 januari";"   126.3";"   107.5"
"474 Winkels in consumentenelektronica";"2010 februari";"    99.5";"    84.4"
"474 Winkels in consumentenelektronica";"2010 maart";"   103.8";"    88.4"
"474 Winkels in consumentenelektronica";"2010 april";"    93.0";"    80.0"
"474 Winkels in consumentenelektronica";"2010 mei";"   103.9";"    89.8"
"474 Winkels in consumentenelektronica";"2010 juni";"   114.9";"    99.5"
"474 Winkels in consumentenelektronica";"2010 juli";"   118.3";"   103.2"
"474 Winkels in consumentenelektronica";"2010 augustus";"   117.1";"   102.0"
"474 Winkels in consumentenelektronica";"2010 september";"   114.9";"    99.4"
"474 Winkels in consumentenelektronica";"2010 oktober";"   116.9";"   101.8"
"474 Winkels in consumentenelektronica";"2010 november";"   118.7";"   104.1"
"474 Winkels in consumentenelektronica";"2010 december";"   151.6";"   133.5"
"474 Winkels in consumentenelektronica";"2011 januari";"   130.0";"   114.8"
"474 Winkels in consumentenelektronica";"2011 februari";"   100.2";"    89.1"
"474 Winkels in consumentenelektronica";"2011 maart";"   101.2";"    90.7"
"474 Winkels in consumentenelektronica";"2011 april";"    91.1";"    82.1"
"474 Winkels in consumentenelektronica";"2011 mei";"   104.6";"    94.5"
"474 Winkels in consumentenelektronica";"2011 juni";"   112.3";"   102.0"
"474 Winkels in consumentenelektronica";"2011 juli";"   121.4";"   110.5"
"474 Winkels in consumentenelektronica";"2011 augustus";"   114.9";"   104.3"
"474 Winkels in consumentenelektronica";"2011 september";"   105.7";"    96.4"
"474 Winkels in consumentenelektronica";"2011 oktober";"   109.9";"   100.9"
"474 Winkels in consumentenelektronica";"2011 november";"   117.4";"   107.7"
"474 Winkels in consumentenelektronica";"2011 december";"   147.0";"   135.5"
"474 Winkels in consumentenelektronica";"2012 januari";"   125.9";"   116.4"
"474 Winkels in consumentenelektronica";"2012 februari";"    96.2";"    89.3"
"474 Winkels in consumentenelektronica";"2012 maart";"   103.1";"    96.2"
"474 Winkels in consumentenelektronica";"2012 april";"    91.8";"    86.0"
"474 Winkels in consumentenelektronica";"2012 mei";"   106.1";"    99.7"
"474 Winkels in consumentenelektronica";"2012 juni";"   119.8";"   112.5"
"474 Winkels in consumentenelektronica";"2012 juli";"   110.8";"   102.2"
"474 Winkels in consumentenelektronica";"2012 augustus";"   105.9";"    98.5"
"474 Winkels in consumentenelektronica";"2012 september";"   112.8";"   105.0"
"474 Winkels in consumentenelektronica";"2012 oktober";"    99.8";"    93.4"
"474 Winkels in consumentenelektronica";"2012 november";"   106.7";"    99.7"
"474 Winkels in consumentenelektronica";"2012 december";"   134.7";"   126.1"
"474 Winkels in consumentenelektronica";"2013 januari";"   118.3";"   111.3"
"474 Winkels in consumentenelektronica";"2013 februari";"    87.1";"    82.3"
"474 Winkels in consumentenelektronica";"2013 maart";"    96.1";"    91.4"
"474 Winkels in consumentenelektronica";"2013 april";"    83.9";"    79.4"
"474 Winkels in consumentenelektronica";"2013 mei";"    96.3";"    91.9"
"474 Winkels in consumentenelektronica";"2013 juni";"    99.8";"    95.5"
"474 Winkels in consumentenelektronica";"2013 juli";"    95.4";"    91.1"
"474 Winkels in consumentenelektronica";"2013 augustus";"    98.3";"    94.0"
"474 Winkels in consumentenelektronica";"2013 september";"    92.2";"    88.7"
"474 Winkels in consumentenelektronica";"2013  oktober";"    95.4";"    92.4"
"474 Winkels in consumentenelektronica";"2013  november";"   103.4";"   100.3"
"474 Winkels in consumentenelektronica";"2013 december ";"   129.4";"   126.2"
"474 Winkels in consumentenelektronica";"2014 januari";"   117.1";"   114.3"
"474 Winkels in consumentenelektronica";"2014 februari";"    94.5";"    92.5"
"474 Winkels in consumentenelektronica";"2014 maart";"    96.2";"    94.9"
"474 Winkels in consumentenelektronica";"2014 april";"    90.8";"    89.9"
"474 Winkels in consumentenelektronica";"2014 mei";"    97.8";"    97.4"
"474 Winkels in consumentenelektronica";"2014 juni";"    94.5";"    94.6"
"474 Winkels in consumentenelektronica";"2014 juli";"    96.1";"    96.2"
"474 Winkels in consumentenelektronica";"2014 augustus";"   102.2";"   102.2"
"474 Winkels in consumentenelektronica";"2014 september";"    96.4";"    96.6"
"474 Winkels in consumentenelektronica";"2014 oktober";"   105.2";"   105.2"
"474 Winkels in consumentenelektronica";"2014 november";"   104.2";"   104.2"
"474 Winkels in consumentenelektronica";"2014 december";"   133.5";"   133.7"
"474 Winkels in consumentenelektronica";"2015 januari";"   121.7";"   123.0"
"474 Winkels in consumentenelektronica";"2015 februari";"    90.7";"    92.2"
"474 Winkels in consumentenelektronica";"2015 maart";"    90.3";"    91.6"
"474 Winkels in consumentenelektronica";"2015 april";"    83.3";"    83.1"
"474 Winkels in consumentenelektronica";"2015 mei";"    93.9";"    93.5"
"474 Winkels in consumentenelektronica";"2015 juni";"    95.8";"    95.7"
"474 Winkels in consumentenelektronica";"2015 juli";"   100.6";"   100.3"
"474 Winkels in consumentenelektronica";"2015 augustus";"    97.7";"    97.1"
"474 Winkels in consumentenelektronica";"2015 september";"    94.7";"    94.1"
"474 Winkels in consumentenelektronica";"2015 oktober";"   100.3";"    99.3"
"474 Winkels in consumentenelektronica";"2015 november";"   101.0";"   100.4"
"474 Winkels in consumentenelektronica";"2015 december";"   130.0";"   129.7"
"474 Winkels in consumentenelektronica";"2016 januari";"   115.8";"   115.5"
"474 Winkels in consumentenelektronica";"2016 februari";"    86.8";"    86.1"
"474 Winkels in consumentenelektronica";"2016 maart";"    85.8";"    85.4"
"474 Winkels in consumentenelektronica";"2016 april";"    83.8";"    84.1"
"474 Winkels in consumentenelektronica";"2016 mei";"    86.1";"    86.3"
"474 Winkels in consumentenelektronica";"2016 juni";"    96.6";"    97.8"
"474 Winkels in consumentenelektronica";"2016 juli";"    94.2";"    94.9"
"474 Winkels in consumentenelektronica";"2016 augustus";"    93.3";"    94.1"
"474 Winkels in consumentenelektronica";"2016 september";"    93.5";"    95.3"
"474 Winkels in consumentenelektronica";"2016 oktober";"    98.9";"   100.3"
"474 Winkels in consumentenelektronica";"2016 november";"   103.9";"   105.5"
"474 Winkels in consumentenelektronica";"2016 december";"   132.0";"   134.6"
"474 Winkels in consumentenelektronica";"2017 januari";"   116.2";"   117.7"
"474 Winkels in consumentenelektronica";"2017 februari";"    80.4";"    81.9"
"474 Winkels in consumentenelektronica";"2017 maart";"    82.7";"    83.9"
"474 Winkels in consumentenelektronica";"2017 april";"    75.7";"    77.8"
"474 Winkels in consumentenelektronica";"2017 mei";"    86.0";"    88.9"
"474 Winkels in consumentenelektronica";"2017 juni";"    89.5";"    93.0"
"474 Winkels in consumentenelektronica";"2017 juli";"    94.6";"    97.3"
"474 Winkels in consumentenelektronica";"2017 augustus";"    92.2";"    95.6"
"474 Winkels in consumentenelektronica";"2017 september";"    95.0";"    98.6"
"474 Winkels in consumentenelektronica";"2017 oktober";"    94.2";"    97.0"
"474 Winkels in consumentenelektronica";"2017 november";"   110.3";"   113.6"
"474 Winkels in consumentenelektronica";"2017 december";"   125.6";"   131.1"
"474 Winkels in consumentenelektronica";"2018 januari";"   113.7";"   119.9"
"474 Winkels in consumentenelektronica";"2018 februari";"    75.6";"    80.2"
"474 Winkels in consumentenelektronica";"2018 maart";"    84.7";"    90.1"
"474 Winkels in consumentenelektronica";"2018 april";"    71.6";"    76.2"
"474 Winkels in consumentenelektronica";"2018 mei";"    83.9";"    89.7"
"474 Winkels in consumentenelektronica";"2018 juni";"    91.2";"    98.0"
"474 Winkels in consumentenelektronica";"2018 juli";"    90.8";"    97.2"
"474 Winkels in consumentenelektronica";"2018 augustus";"    95.8";"   101.3"
"474 Winkels in consumentenelektronica";"2018 september";"    90.6";"    96.2"
"474 Winkels in consumentenelektronica";"2018 oktober";"    96.2";"   102.2"
"474 Winkels in consumentenelektronica";"2018 november";"   118.6";"   126.6"
"474 Winkels in consumentenelektronica";"2018 december";"   122.3";"   131.5"
"474 Winkels in consumentenelektronica";"2019 januari";"   112.9";"   121.4"
"474 Winkels in consumentenelektronica";"2019 februari";"    78.2";"    83.9"
"474 Winkels in consumentenelektronica";"2019 maart";"    85.7";"    92.1"
"474 Winkels in consumentenelektronica";"2019 april";"    75.0";"    80.9"
"474 Winkels in consumentenelektronica";"2019 mei";"    92.8";"   100.3"
"474 Winkels in consumentenelektronica";"2019 juni";"    89.0";"    96.5"
"474 Winkels in consumentenelektronica";"2019 juli";"    91.2";"    98.1"
"474 Winkels in consumentenelektronica";"2019 augustus";"    95.3";"   101.6"
"474 Winkels in consumentenelektronica";"2019 september";"    91.1";"    98.0"
"474 Winkels in consumentenelektronica";"2019 oktober";"   101.0";"   108.6"
"474 Winkels in consumentenelektronica";"2019 november";"   115.9";"   123.2"
"474 Winkels in consumentenelektronica";"2019 december";"   129.7";"   139.5"
"474 Winkels in consumentenelektronica";"2020 januari*";"   111.9";"   119.9"
"474 Winkels in consumentenelektronica";"2020 februari*";"    83.7";"    89.4"
"474 Winkels in consumentenelektronica";"2020 maart*";"    96.4";"   101.9"
"474 Winkels in consumentenelektronica";"2020 april*";"    86.0";"    90.7"
"474 Winkels in consumentenelektronica";"2020 mei*";"   106.0";"   110.5"
"474 Winkels in consumentenelektronica";"2020 juni*";"   108.1";"   112.8"
"474 Winkels in consumentenelektronica";"2020 juli*";"   103.8";"   107.4"
"474 Winkels in consumentenelektronica";"2020 augustus*";"   104.1";"   108.9"
"474 Winkels in consumentenelektronica";"2020 september*";"    96.5";"   101.1"
"474 Winkels in consumentenelektronica";"2020 oktober*";"   111.9";"   115.8"
"474 Winkels in consumentenelektronica";"2020 november*";"   141.9";"   147.1"
"474 Winkels in consumentenelektronica";"2020 december*";"   107.8";"   111.0"
"474 Winkels in consumentenelektronica";"2021 januari*";"    74.4";"    75.6"
"474 Winkels in consumentenelektronica";"2021 februari*";"    67.2";"    68.2"
"474 Winkels in consumentenelektronica";"2021 maart*";"    83.6";"    85.4"
"475 Winkels in overige huishoudwaren";"2005 januari";"   111.1";"   119.9"
"475 Winkels in overige huishoudwaren";"2005 februari";"   107.2";"   115.7"
"475 Winkels in overige huishoudwaren";"2005 maart";"   123.1";"   132.8"
"475 Winkels in overige huishoudwaren";"2005 april";"   125.2";"   135.2"
"475 Winkels in overige huishoudwaren";"2005 mei";"   122.6";"   132.5"
"475 Winkels in overige huishoudwaren";"2005 juni";"   127.5";"   138.2"
"475 Winkels in overige huishoudwaren";"2005 juli";"   125.0";"   135.9"
"475 Winkels in overige huishoudwaren";"2005 augustus";"   116.2";"   126.3"
"475 Winkels in overige huishoudwaren";"2005 september";"   120.6";"   130.3"
"475 Winkels in overige huishoudwaren";"2005 oktober";"   129.2";"   139.4"
"475 Winkels in overige huishoudwaren";"2005 november";"   134.1";"   145.0"
"475 Winkels in overige huishoudwaren";"2005 december";"   147.4";"   159.4"
"475 Winkels in overige huishoudwaren";"2006 januari";"   120.2";"   130.1"
"475 Winkels in overige huishoudwaren";"2006 februari";"   115.0";"   124.2"
"475 Winkels in overige huishoudwaren";"2006 maart";"   136.9";"   147.3"
"475 Winkels in overige huishoudwaren";"2006 april";"   133.3";"   143.1"
"475 Winkels in overige huishoudwaren";"2006 mei";"   140.1";"   150.6"
"475 Winkels in overige huishoudwaren";"2006 juni";"   136.3";"   146.4"
"475 Winkels in overige huishoudwaren";"2006 juli";"   124.6";"   134.4"
"475 Winkels in overige huishoudwaren";"2006 augustus";"   126.9";"   136.4"
"475 Winkels in overige huishoudwaren";"2006 september";"   127.8";"   137.1"
"475 Winkels in overige huishoudwaren";"2006 oktober";"   135.1";"   144.8"
"475 Winkels in overige huishoudwaren";"2006 november";"   140.3";"   150.2"
"475 Winkels in overige huishoudwaren";"2006 december";"   148.6";"   158.8"
"475 Winkels in overige huishoudwaren";"2007 januari";"   122.6";"   130.8"
"475 Winkels in overige huishoudwaren";"2007 februari";"   118.2";"   125.2"
"475 Winkels in overige huishoudwaren";"2007 maart";"   139.9";"   148.0"
"475 Winkels in overige huishoudwaren";"2007 april";"   132.7";"   139.6"
"475 Winkels in overige huishoudwaren";"2007 mei";"   142.3";"   149.6"
"475 Winkels in overige huishoudwaren";"2007 juni";"   139.0";"   146.3"
"475 Winkels in overige huishoudwaren";"2007 juli";"   132.1";"   139.1"
"475 Winkels in overige huishoudwaren";"2007 augustus";"   126.4";"   132.9"
"475 Winkels in overige huishoudwaren";"2007 september";"   125.6";"   131.7"
"475 Winkels in overige huishoudwaren";"2007 oktober";"   139.3";"   145.4"
"475 Winkels in overige huishoudwaren";"2007 november";"   141.6";"   147.8"
"475 Winkels in overige huishoudwaren";"2007 december";"   147.9";"   154.1"
"475 Winkels in overige huishoudwaren";"2008 januari";"   123.1";"   127.6"
"475 Winkels in overige huishoudwaren";"2008 februari";"   123.0";"   126.8"
"475 Winkels in overige huishoudwaren";"2008 maart";"   134.1";"   137.9"
"475 Winkels in overige huishoudwaren";"2008 april";"   138.8";"   142.0"
"475 Winkels in overige huishoudwaren";"2008 mei";"   140.5";"   143.6"
"475 Winkels in overige huishoudwaren";"2008 juni";"   129.3";"   132.4"
"475 Winkels in overige huishoudwaren";"2008 juli";"   133.3";"   136.8"
"475 Winkels in overige huishoudwaren";"2008 augustus";"   123.5";"   126.3"
"475 Winkels in overige huishoudwaren";"2008 september";"   124.6";"   127.0"
"475 Winkels in overige huishoudwaren";"2008 oktober";"   138.2";"   140.4"
"475 Winkels in overige huishoudwaren";"2008 november";"   131.9";"   134.3"
"475 Winkels in overige huishoudwaren";"2008 december";"   142.0";"   145.1"
"475 Winkels in overige huishoudwaren";"2009 januari";"   116.0";"   118.9"
"475 Winkels in overige huishoudwaren";"2009 februari";"   111.4";"   113.8"
"475 Winkels in overige huishoudwaren";"2009 maart";"   122.9";"   124.9"
"475 Winkels in overige huishoudwaren";"2009 april";"   127.0";"   129.6"
"475 Winkels in overige huishoudwaren";"2009 mei";"   125.2";"   126.7"
"475 Winkels in overige huishoudwaren";"2009 juni";"   119.9";"   121.9"
"475 Winkels in overige huishoudwaren";"2009 juli";"   123.8";"   126.0"
"475 Winkels in overige huishoudwaren";"2009 augustus";"   107.5";"   110.0"
"475 Winkels in overige huishoudwaren";"2009 september";"   113.4";"   115.4"
"475 Winkels in overige huishoudwaren";"2009 oktober";"   124.4";"   126.1"
"475 Winkels in overige huishoudwaren";"2009 november";"   118.5";"   119.8"
"475 Winkels in overige huishoudwaren";"2009 december";"   132.2";"   133.7"
"475 Winkels in overige huishoudwaren";"2010 januari";"   104.3";"   105.6"
"475 Winkels in overige huishoudwaren";"2010 februari";"   100.1";"   101.0"
"475 Winkels in overige huishoudwaren";"2010 maart";"   118.4";"   119.4"
"475 Winkels in overige huishoudwaren";"2010 april";"   120.3";"   121.6"
"475 Winkels in overige huishoudwaren";"2010 mei";"   119.1";"   121.2"
"475 Winkels in overige huishoudwaren";"2010 juni";"   114.0";"   115.5"
"475 Winkels in overige huishoudwaren";"2010 juli";"   117.3";"   119.4"
"475 Winkels in overige huishoudwaren";"2010 augustus";"   107.1";"   108.8"
"475 Winkels in overige huishoudwaren";"2010 september";"   110.7";"   111.8"
"475 Winkels in overige huishoudwaren";"2010 oktober";"   117.8";"   118.4"
"475 Winkels in overige huishoudwaren";"2010 november";"   118.6";"   119.5"
"475 Winkels in overige huishoudwaren";"2010 december";"   127.1";"   127.9"
"475 Winkels in overige huishoudwaren";"2011 januari";"   103.2";"   103.7"
"475 Winkels in overige huishoudwaren";"2011 februari";"   101.7";"   101.7"
"475 Winkels in overige huishoudwaren";"2011 maart";"   117.7";"   117.1"
"475 Winkels in overige huishoudwaren";"2011 april";"   120.3";"   119.2"
"475 Winkels in overige huishoudwaren";"2011 mei";"   117.6";"   116.9"
"475 Winkels in overige huishoudwaren";"2011 juni";"   113.5";"   113.1"
"475 Winkels in overige huishoudwaren";"2011 juli";"   114.6";"   114.1"
"475 Winkels in overige huishoudwaren";"2011 augustus";"   108.0";"   107.9"
"475 Winkels in overige huishoudwaren";"2011 september";"   107.0";"   106.0"
"475 Winkels in overige huishoudwaren";"2011 oktober";"   112.5";"   111.5"
"475 Winkels in overige huishoudwaren";"2011 november";"   114.5";"   113.2"
"475 Winkels in overige huishoudwaren";"2011 december";"   126.6";"   125.2"
"475 Winkels in overige huishoudwaren";"2012 januari";"   102.2";"   101.4"
"475 Winkels in overige huishoudwaren";"2012 februari";"    95.0";"    93.8"
"475 Winkels in overige huishoudwaren";"2012 maart";"   110.4";"   108.6"
"475 Winkels in overige huishoudwaren";"2012 april";"   104.7";"   103.3"
"475 Winkels in overige huishoudwaren";"2012 mei";"   111.0";"   109.0"
"475 Winkels in overige huishoudwaren";"2012 juni";"   108.2";"   106.2"
"475 Winkels in overige huishoudwaren";"2012 juli";"   106.5";"   105.1"
"475 Winkels in overige huishoudwaren";"2012 augustus";"    99.4";"    97.9"
"475 Winkels in overige huishoudwaren";"2012 september";"   103.6";"   101.4"
"475 Winkels in overige huishoudwaren";"2012 oktober";"   102.5";"   100.9"
"475 Winkels in overige huishoudwaren";"2012 november";"   102.2";"   100.7"
"475 Winkels in overige huishoudwaren";"2012 december";"   109.1";"   107.8"
"475 Winkels in overige huishoudwaren";"2013 januari";"    94.3";"    92.9"
"475 Winkels in overige huishoudwaren";"2013 februari";"    85.6";"    84.5"
"475 Winkels in overige huishoudwaren";"2013 maart";"    95.5";"    94.3"
"475 Winkels in overige huishoudwaren";"2013 april";"    99.9";"    98.8"
"475 Winkels in overige huishoudwaren";"2013 mei";"   103.7";"   102.7"
"475 Winkels in overige huishoudwaren";"2013 juni";"    97.1";"    96.0"
"475 Winkels in overige huishoudwaren";"2013 juli";"    98.0";"    97.6"
"475 Winkels in overige huishoudwaren";"2013 augustus";"    93.3";"    93.1"
"475 Winkels in overige huishoudwaren";"2013 september";"    90.0";"    89.6"
"475 Winkels in overige huishoudwaren";"2013  oktober";"    99.0";"    98.9"
"475 Winkels in overige huishoudwaren";"2013  november";"    99.6";"    99.2"
"475 Winkels in overige huishoudwaren";"2013 december ";"   104.5";"   104.4"
"475 Winkels in overige huishoudwaren";"2014 januari";"    94.2";"    94.2"
"475 Winkels in overige huishoudwaren";"2014 februari";"    86.8";"    86.8"
"475 Winkels in overige huishoudwaren";"2014 maart";"    97.1";"    96.3"
"475 Winkels in overige huishoudwaren";"2014 april";"    99.8";"    99.2"
"475 Winkels in overige huishoudwaren";"2014 mei";"   102.4";"   101.8"
"475 Winkels in overige huishoudwaren";"2014 juni";"    92.9";"    92.9"
"475 Winkels in overige huishoudwaren";"2014 juli";"    97.4";"    97.6"
"475 Winkels in overige huishoudwaren";"2014 augustus";"    93.9";"    95.0"
"475 Winkels in overige huishoudwaren";"2014 september";"    91.9";"    92.4"
"475 Winkels in overige huishoudwaren";"2014 oktober";"   101.5";"   102.3"
"475 Winkels in overige huishoudwaren";"2014 november";"    99.8";"   100.7"
"475 Winkels in overige huishoudwaren";"2014 december";"   108.1";"   109.3"
"475 Winkels in overige huishoudwaren";"2015 januari";"    94.6";"    95.6"
"475 Winkels in overige huishoudwaren";"2015 februari";"    87.6";"    88.3"
"475 Winkels in overige huishoudwaren";"2015 maart";"    99.0";"    99.2"
"475 Winkels in overige huishoudwaren";"2015 april";"   102.4";"   102.4"
"475 Winkels in overige huishoudwaren";"2015 mei";"   104.2";"   104.6"
"475 Winkels in overige huishoudwaren";"2015 juni";"   103.2";"   102.5"
"475 Winkels in overige huishoudwaren";"2015 juli";"   103.4";"   103.2"
"475 Winkels in overige huishoudwaren";"2015 augustus";"    91.7";"    91.8"
"475 Winkels in overige huishoudwaren";"2015 september";"    96.7";"    96.4"
"475 Winkels in overige huishoudwaren";"2015 oktober";"   105.7";"   105.2"
"475 Winkels in overige huishoudwaren";"2015 november";"    99.6";"    99.7"
"475 Winkels in overige huishoudwaren";"2015 december";"   111.9";"   111.3"
"475 Winkels in overige huishoudwaren";"2016 januari";"    92.3";"    92.2"
"475 Winkels in overige huishoudwaren";"2016 februari";"    92.0";"    91.9"
"475 Winkels in overige huishoudwaren";"2016 maart";"   102.7";"   102.3"
"475 Winkels in overige huishoudwaren";"2016 april";"   105.7";"   104.5"
"475 Winkels in overige huishoudwaren";"2016 mei";"   105.1";"   104.3"
"475 Winkels in overige huishoudwaren";"2016 juni";"   105.5";"   104.7"
"475 Winkels in overige huishoudwaren";"2016 juli";"   104.2";"   104.2"
"475 Winkels in overige huishoudwaren";"2016 augustus";"    96.4";"    96.1"
"475 Winkels in overige huishoudwaren";"2016 september";"    98.4";"    98.2"
"475 Winkels in overige huishoudwaren";"2016 oktober";"   107.3";"   106.9"
"475 Winkels in overige huishoudwaren";"2016 november";"   107.6";"   107.1"
"475 Winkels in overige huishoudwaren";"2016 december";"   117.3";"   116.3"
"475 Winkels in overige huishoudwaren";"2017 januari";"    98.2";"    97.6"
"475 Winkels in overige huishoudwaren";"2017 februari";"    95.3";"    94.2"
"475 Winkels in overige huishoudwaren";"2017 maart";"   111.7";"   109.7"
"475 Winkels in overige huishoudwaren";"2017 april";"   109.2";"   108.1"
"475 Winkels in overige huishoudwaren";"2017 mei";"   113.0";"   111.8"
"475 Winkels in overige huishoudwaren";"2017 juni";"   111.1";"   110.1"
"475 Winkels in overige huishoudwaren";"2017 juli";"   111.0";"   110.6"
"475 Winkels in overige huishoudwaren";"2017 augustus";"   103.6";"   103.6"
"475 Winkels in overige huishoudwaren";"2017 september";"   106.1";"   106.2"
"475 Winkels in overige huishoudwaren";"2017 oktober";"   110.4";"   110.3"
"475 Winkels in overige huishoudwaren";"2017 november";"   114.3";"   113.5"
"475 Winkels in overige huishoudwaren";"2017 december";"   115.5";"   114.8"
"475 Winkels in overige huishoudwaren";"2018 januari";"   103.8";"   103.8"
"475 Winkels in overige huishoudwaren";"2018 februari";"    95.3";"    94.3"
"475 Winkels in overige huishoudwaren";"2018 maart";"   112.7";"   111.0"
"475 Winkels in overige huishoudwaren";"2018 april";"   111.4";"   110.4"
"475 Winkels in overige huishoudwaren";"2018 mei";"   115.6";"   115.7"
"475 Winkels in overige huishoudwaren";"2018 juni";"   111.6";"   109.6"
"475 Winkels in overige huishoudwaren";"2018 juli";"   107.6";"   107.0"
"475 Winkels in overige huishoudwaren";"2018 augustus";"   103.2";"   103.2"
"475 Winkels in overige huishoudwaren";"2018 september";"   103.7";"   103.7"
"475 Winkels in overige huishoudwaren";"2018 oktober";"   114.7";"   114.5"
"475 Winkels in overige huishoudwaren";"2018 november";"   116.9";"   116.3"
"475 Winkels in overige huishoudwaren";"2018 december";"   115.3";"   114.5"
"475 Winkels in overige huishoudwaren";"2019 januari";"   107.5";"   107.5"
"475 Winkels in overige huishoudwaren";"2019 februari";"   102.6";"   101.4"
"475 Winkels in overige huishoudwaren";"2019 maart";"   116.1";"   114.2"
"475 Winkels in overige huishoudwaren";"2019 april";"   119.0";"   117.3"
"475 Winkels in overige huishoudwaren";"2019 mei";"   125.2";"   124.0"
"475 Winkels in overige huishoudwaren";"2019 juni";"   115.8";"   115.9"
"475 Winkels in overige huishoudwaren";"2019 juli";"   118.3";"   117.0"
"475 Winkels in overige huishoudwaren";"2019 augustus";"   111.2";"   110.2"
"475 Winkels in overige huishoudwaren";"2019 september";"   108.9";"   108.9"
"475 Winkels in overige huishoudwaren";"2019 oktober";"   122.1";"   122.0"
"475 Winkels in overige huishoudwaren";"2019 november";"   120.7";"   119.8"
"475 Winkels in overige huishoudwaren";"2019 december";"   122.5";"   121.0"
"475 Winkels in overige huishoudwaren";"2020 januari*";"   112.4";"   112.2"
"475 Winkels in overige huishoudwaren";"2020 februari*";"   112.6";"   111.1"
"475 Winkels in overige huishoudwaren";"2020 maart*";"   123.9";"   122.8"
"475 Winkels in overige huishoudwaren";"2020 april*";"   132.9";"   131.6"
"475 Winkels in overige huishoudwaren";"2020 mei*";"   145.4";"   141.5"
"475 Winkels in overige huishoudwaren";"2020 juni*";"   145.7";"   141.8"
"475 Winkels in overige huishoudwaren";"2020 juli*";"   144.3";"   140.9"
"475 Winkels in overige huishoudwaren";"2020 augustus*";"   122.5";"   119.5"
"475 Winkels in overige huishoudwaren";"2020 september*";"   132.9";"   130.6"
"475 Winkels in overige huishoudwaren";"2020 oktober*";"   143.6";"   141.7"
"475 Winkels in overige huishoudwaren";"2020 november*";"   138.4";"   136.1"
"475 Winkels in overige huishoudwaren";"2020 december*";"   118.8";"   115.7"
"475 Winkels in overige huishoudwaren";"2021 januari*";"    79.1";"    76.7"
"475 Winkels in overige huishoudwaren";"2021 februari*";"    88.4";"    85.8"
"475 Winkels in overige huishoudwaren";"2021 maart*";"   120.1";"   115.5"
"Winkels in meubels, woninginrichting alg";"2005 januari";"   111.9";"   117.1"
"Winkels in meubels, woninginrichting alg";"2005 februari";"   105.0";"   109.6"
"Winkels in meubels, woninginrichting alg";"2005 maart";"   116.2";"   121.1"
"Winkels in meubels, woninginrichting alg";"2005 april";"   107.8";"   112.1"
"Winkels in meubels, woninginrichting alg";"2005 mei";"   105.8";"   110.3"
"Winkels in meubels, woninginrichting alg";"2005 juni";"   106.8";"   111.9"
"Winkels in meubels, woninginrichting alg";"2005 juli";"   111.0";"   116.6"
"Winkels in meubels, woninginrichting alg";"2005 augustus";"   102.3";"   107.4"
"Winkels in meubels, woninginrichting alg";"2005 september";"   108.7";"   113.3"
"Winkels in meubels, woninginrichting alg";"2005 oktober";"   122.6";"   128.2"
"Winkels in meubels, woninginrichting alg";"2005 november";"   124.1";"   129.7"
"Winkels in meubels, woninginrichting alg";"2005 december";"   136.3";"   142.5"
"Winkels in meubels, woninginrichting alg";"2006 januari";"   121.8";"   127.8"
"Winkels in meubels, woninginrichting alg";"2006 februari";"   111.8";"   117.3"
"Winkels in meubels, woninginrichting alg";"2006 maart";"   129.7";"   135.3"
"Winkels in meubels, woninginrichting alg";"2006 april";"   116.3";"   120.5"
"Winkels in meubels, woninginrichting alg";"2006 mei";"   121.8";"   126.7"
"Winkels in meubels, woninginrichting alg";"2006 juni";"   118.1";"   123.0"
"Winkels in meubels, woninginrichting alg";"2006 juli";"   106.2";"   111.1"
